,Date,Hour,Demand
765,2021-02-01,20,10761
766,2021-02-01,21,10578
767,2021-02-01,22,10308
768,2021-02-01,23,10011
769,2021-02-02,0,9897
770,2021-02-02,1,9831
771,2021-02-02,2,9778
772,2021-02-02,3,9744
773,2021-02-02,4,9845
774,2021-02-02,5,10052
775,2021-02-02,6,10368
776,2021-02-02,7,10845
777,2021-02-02,8,10997
778,2021-02-02,9,11065
779,2021-02-02,10,11115
780,2021-02-02,11,11134
781,2021-02-02,12,11129
782,2021-02-02,13,11095
783,2021-02-02,14,11028
784,2021-02-02,15,11055
785,2021-02-02,16,11147
786,2021-02-02,17,11261
787,2021-02-02,18,11149
788,2021-02-02,19,11047
789,2021-02-02,20,10904
790,2021-02-02,21,10696
791,2021-02-02,22,10463
792,2021-02-02,23,10221
793,2021-02-03,0,10035
794,2021-02-03,1,9947
795,2021-02-03,2,9872
796,2021-02-03,3,9845
797,2021-02-03,4,9916
798,2021-02-03,5,9992
799,2021-02-03,6,10316
800,2021-02-03,7,10728
801,2021-02-03,8,10789
802,2021-02-03,9,10973
803,2021-02-03,10,10961
804,2021-02-03,11,10907
805,2021-02-03,12,10813
806,2021-02-03,13,10831
807,2021-02-03,14,10726
808,2021-02-03,15,10791
809,2021-02-03,16,10854
810,2021-02-03,17,11045
811,2021-02-03,18,11005
812,2021-02-03,19,10961
813,2021-02-03,20,10887
814,2021-02-03,21,10725
815,2021-02-03,22,10524
816,2021-02-03,23,10261
817,2021-02-04,0,10078
818,2021-02-04,1,10009
819,2021-02-04,2,9946
820,2021-02-04,3,9936
821,2021-02-04,4,10007
822,2021-02-04,5,10130
823,2021-02-04,6,10470
824,2021-02-04,7,10941
825,2021-02-04,8,11130
826,2021-02-04,9,11198
827,2021-02-04,10,11203
828,2021-02-04,11,11182
829,2021-02-04,12,11163
830,2021-02-04,13,11061
831,2021-02-04,14,11001
832,2021-02-04,15,11054
833,2021-02-04,16,11136
834,2021-02-04,17,11332
835,2021-02-04,18,11303
836,2021-02-04,19,11165
837,2021-02-04,20,11057
838,2021-02-04,21,10860
839,2021-02-04,22,10590
840,2021-02-04,23,10334
841,2021-02-05,0,10177
842,2021-02-05,1,10106
843,2021-02-05,2,10070
844,2021-02-05,3,10026
845,2021-02-05,4,10049
846,2021-02-05,5,10174
847,2021-02-05,6,10515
848,2021-02-05,7,10962
849,2021-02-05,8,11146
850,2021-02-05,9,11240
851,2021-02-05,10,11329
852,2021-02-05,11,11329
853,2021-02-05,12,11335
854,2021-02-05,13,11278
855,2021-02-05,14,11227
856,2021-02-05,15,11214
857,2021-02-05,16,11248
858,2021-02-05,17,11377
859,2021-02-05,18,11400
860,2021-02-05,19,11298
861,2021-02-05,20,11178
862,2021-02-05,21,11018
863,2021-02-05,22,10811
864,2021-02-05,23,10605
865,2021-02-06,0,10451
